200      GET      234l      773w    36861c http://10.10.10.56/bug.jpg
403      GET       11l       32w      295c http://10.10.10.56/.htaccess
403      GET       11l       32w      290c http://10.10.10.56/.hta
403      GET       11l       32w      299c http://10.10.10.56/.htaccess.txt
403      GET       11l       32w      295c http://10.10.10.56/.htpasswd
403      GET       11l       32w      294c http://10.10.10.56/.hta.txt
403      GET       11l       32w      299c http://10.10.10.56/.htpasswd.txt
403      GET       11l       32w      300c http://10.10.10.56/.htaccess.html
403      GET       11l       32w      295c http://10.10.10.56/.hta.html
403      GET       11l       32w      299c http://10.10.10.56/.htaccess.php
403      GET       11l       32w      300c http://10.10.10.56/.htpasswd.html
403      GET       11l       32w      294c http://10.10.10.56/.hta.php
403      GET       11l       32w      299c http://10.10.10.56/.htaccess.asp
403      GET       11l       32w      294c http://10.10.10.56/.hta.asp
403      GET       11l       32w      299c http://10.10.10.56/.htpasswd.php
403      GET       11l       32w      300c http://10.10.10.56/.htaccess.aspx
403      GET       11l       32w      295c http://10.10.10.56/.hta.aspx
403      GET       11l       32w      299c http://10.10.10.56/.htpasswd.asp
403      GET       11l       32w      299c http://10.10.10.56/.htaccess.jsp
403      GET       11l       32w      300c http://10.10.10.56/.htpasswd.aspx
403      GET       11l       32w      294c http://10.10.10.56/.hta.jsp
403      GET       11l       32w      299c http://10.10.10.56/.htpasswd.jsp
403      GET       11l       32w      294c http://10.10.10.56/cgi-bin/
403      GET       11l       32w      299c http://10.10.10.56/cgi-bin/.html
200      GET        9l       13w      137c http://10.10.10.56/index.html
403      GET       11l       32w      299c http://10.10.10.56/server-status
